Date,Price,Open,High,Low,Vol.,Change %
01-03-2015,371.43,390.76,409.04,358.14,141.61M,-4.52%
01-02-2015,389.03,411.92,424.4,376.19,124.25M,-5.47%
01-01-2015,411.56,398.54,420.21,373.76,157.46M,2.71%
01-12-2014,400.72,444.72,446.05,386.58,135.99M,-10.13%
01-11-2014,445.89,451.47,457.47,433.21,98.41M,-0.89%
01-10-2014,449.91,424.31,451.33,409.89,127.34M,5.80%
01-09-2014,425.25,451.62,468.24,412.48,140.40M,-5.31%
01-08-2014,449.08,447.42,460.01,436.63,102.93M,-0.77%
01-07-2014,452.57,457.4,469.14,431.01,147.32M,-0.88%
01-06-2014,456.59,483.28,509.47,449.67,150.27M,-4.63%
01-05-2014,478.76,422.69,514.98,415.94,191.75M,13.77%
01-04-2014,420.8,420.89,444.61,417.79,119.41M,0.54%
01-03-2014,418.53,359.78,422.6,358.45,193.84M,16.35%
01-02-2014,359.71,371.51,373.13,356.63,84.67M,-3.75%
01-01-2014,373.74,403.55,403.91,369.72,130.83M,-7.15%
01-12-2013,402.54,383.57,408.75,376.26,98.77M,4.92%
01-11-2013,383.66,409.24,416.64,375.58,92.68M,-6.72%
01-10-2013,411.31,371.56,412.79,367.69,125.91M,11.22%
01-09-2013,369.81,383.66,405.15,368.32,139.67M,-3.68%
01-08-2013,383.95,393.53,396.99,343.5,147.17M,-2.09%
01-07-2013,392.13,387.61,417.25,377.27,153.58M,1.10%
01-06-2013,387.88,361.4,392.56,348.63,157.35M,6.98%
01-05-2013,362.57,354.07,384.47,350.38,143.76M,2.30%
01-04-2013,354.43,351.19,371.69,343.61,138.86M,1.98%
01-03-2013,347.55,366.93,390.94,343.73,121.98M,-5.03%
01-02-2013,365.96,400.81,405.15,362.32,110.46M,-8.21%
01-01-2013,398.7,379.52,429.43,376.03,166.80M,5.61%
01-12-2012,377.52,357.49,382.13,355.12,98.67M,5.78%
01-11-2012,356.9,357.49,366.43,342.24,110.50M,-1.47%
01-10-2012,362.21,377.72,387.61,306.83,136.96M,-3.79%
01-09-2012,376.46,345.34,396.43,341.77,152.61M,9.24%
01-08-2012,344.62,332.87,370.93,328.5,143.64M,3.07%
01-07-2012,334.37,330.73,335.5,317.76,100.13M,0.78%
01-06-2012,331.79,318.07,334.08,302.81,134.83M,4.57%
01-05-2012,317.29,336.31,337.88,302.65,153.07M,-5.30%
01-04-2012,335.05,336.96,343.05,325.42,123.85M,-0.73%
